...1,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,1 BULANAN,3 BULANAN KOMBINASI,3 BULANAN PROGESTIN,KOMBINASI,PROGESTIN,KONDOM,1 BATANG,2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,KABUPATEN,KECAMATAN,TAHUN
1456,7602012,PUSKESMAS TOPORE,6,0,1,2,1,0,0,0,2,0,0,0,FEBRUARI,MAMUJU,PAPALANG,2023
1485,7601004,UPT PUSKESMAS PASANGKAYU 1,2,0,0,2,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,PASANGKAYU,2023
1488,7601016,RSUD Kabupaten Pasangkayu,34,0,0,0,1,0,1,0,0,23,0,9,FEBRUARI,PASANGKAYU,PASANGKAYU,2023
1493,760500806,PUSTU BAMBANGAN,2,0,0,1,0,1,0,0,0,0,0,0,FEBRUARI,MAJENE,MALUNDA,2023
1500,760500808,POSKESDES LOMBONG TIMUR,2,0,0,0,1,0,0,0,0,0,0,1,FEBRUARI,MAJENE,MALUNDA,2023
1506,760402208,POSKESDES TUBBI,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,TUTAR,2023
1507,760402201,POSKESDES RATTE,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,TUTAR,2023
1514,760402203,PUSTU BESOANGIN UTARA,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,TUTAR,2023
1522,760500303,Poskesdes Buttu Tande,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAJENE,BANGGAE TIMUR,2023
1555,7602030,PKM Bonehau Mesa Kada,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU,BONEHAU,2023
1561,7604029,PUSKESMAS WONOMULYO,1,0,1,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,WONOMULYO,2023
1579,7602020,Puskesmas Tampa Padang,3,0,0,2,1,0,0,0,0,0,0,0,FEBRUARI,MAMUJU,KALUKKU,2023
1585,7602022,Puskesmas Ranga- Ranga,2,0,0,1,1,0,0,0,0,0,0,0,FEBRUARI,MAMUJU,KALUKKU,2023
1633,760600504,PUSTU SULOBAJA,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,TOBADAK,2023
1636,760600501,PUSTU TOBADAK,3,0,2,0,0,0,0,0,1,0,0,0,FEBRUARI,MAMUJU TENGAH,TOBADAK,2023
1637,760600502,PUSTU POLONGAAN,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,TOBADAK,2023
1643,760600505,PUSTU BAMBADARU,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,TOBADAK,2023
1655,7603020,RUMAH SAKIT BANUA MAMASE,31,0,1,1,0,0,0,0,18,11,0,0,FEBRUARI,MAMASA,MAMASA,2023
1696,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMASA,TAWALIAN,2023
1706,760600203,Poskesdes Tritunggal,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,PANGALE,2023
1708,760600106,Pustu Kuo,3,0,2,1,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,PANGALE,2023
1711,760600205,Poskesdes Lamba- lamba,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,PANGALE,2023
1712,760600204,Pustu Kombiling,3,0,0,0,0,0,0,0,3,0,0,0,FEBRUARI,MAMUJU TENGAH,PANGALE,2023
1719,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMASA,TABANG,2023
1728,7601011,UPT PUSKESMAS BARAS 2,4,0,0,4,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,BARAS,2023
1731,760101103,Pustu Towoni,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,BARAS,2023
1738,7606010,Puskesmas lara,1,0,0,0,0,0,0,0,1,0,0,0,FEBRUARI,MAMUJU TENGAH,KAROSSA,2023
1752,760601002,pustu salubiro,3,0,0,2,0,0,1,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,KAROSSA,2023
1772,760600402,PKD KM 10,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,BUDONG-BUDONG,2023
1781,760600404,pustu barakkang,6,0,0,4,2,0,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,BUDONG-BUDONG,2023
1796,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAJENE,PAMBOANG,2023
1822,760202603,Poskesdes Kasambang,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMUJU,TAPALANG,2023
1826,760202601,Pustu Taan,7,0,4,1,0,0,0,0,2,0,0,0,MARET,MAMUJU,TAPALANG,2023
1836,760600203,Poskesdes Tritunggal,1,0,0,0,1,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,PANGALE,2023
1838,760600106,Pustu Kuo,1,0,0,1,0,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,PANGALE,2023
1841,760600205,Poskesdes Lamba- lamba,6,0,0,3,1,0,0,0,2,0,0,0,MARET,MAMUJU TENGAH,PANGALE,2023
1842,760600204,Pustu Kombiling,6,0,0,1,2,0,0,0,3,0,0,0,MARET,MAMUJU TENGAH,PANGALE,2023
1846,7604021,PUSKESMAS TUTALLU,8,0,0,3,2,0,0,0,3,0,0,0,MARET,POLEWALI MANDAR,ALLU,2023
1848,760402103,POSKESDES PAO - PAO,2,0,0,2,0,0,0,0,0,0,0,0,MARET,POLEWALI MANDAR,ALLU,2023
1857,760301305,PUSTU MASEWE,4,0,0,0,0,0,0,0,4,0,0,0,MARET,MAMASA,NOSU,2023
1866,760501002,PUSTU ULUMANDA,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAJENE,ULUMANDA,2023
1872,7601015,UPT PUSKESMAS DURIPOKU,1,0,0,0,0,0,0,0,0,1,0,0,MARET,PASANGKAYU,DURIPOKU,2023
1878,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMASA,TAWALIAN,2023
