KABUPATEN,KECAMATAN,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,SUNTIK 1 BULANAN,SUNTIK 3 BULANAN KOMBINASI,SUNTIK 3 BULANAN PROGESTIN,PIL KOMBINASI,PIL PROGESTIN,KONDOM,IMPLAN 1 BATANG,IMPLAN 2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,TAHUN
MAMUJU,PAPALANG,7602012,PUSKESMAS TOPORE,15,0,4,0,3,0,0,0,8,0,0,0,APRIL,2024
MAMUJU,SIMBORO,7602005,PUSKESMAS RANGAS,21,0,4,4,4,0,1,0,7,1,0,0,APRIL,2024
MAMUJU,SIMBORO,760200407,POSKESDES PATIDDI,3,0,0,1,2,0,0,0,0,0,0,0,APRIL,2024
MAJENE,PAMBOANG,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAJENE,MALUNDA,760500806,PUSTU BAMBANGAN,2,0,1,0,0,1,0,0,0,0,0,0,APRIL,2024
MAMASA,BUNTUMALANGKA,760301603,PUSTU PENATANGAN,3,0,0,0,2,0,0,0,1,0,0,0,APRIL,2024
MAJENE,ULUMANDA,760501002,PUSTU ULUMANDA,4,0,0,4,0,0,0,0,0,0,0,0,APRIL,2024
POLEWALI MANDAR,ALLU,760402103,POSKESDES PAO - PAO,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMUJU,BONEHAU,7602030,PKM Bonehau Mesa Kada,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMASA,ARALLE,760300202,POSKESDES UHAILANU,1,0,0,0,1,0,0,0,0,0,0,0,APRIL,2024
MAJENE,TAMMERODO SENDANA,760500604,Poskesdes Waigamo,3,0,0,3,0,0,0,0,0,0,0,0,APRIL,2024
MAMASA,PANA,760300401,PUSTU MANIPI',2,0,2,0,0,0,0,0,0,0,0,0,APRIL,2024
MAJENE,SENDANA,760501314,PUSTU TALLU BANUA,1,0,0,0,1,0,0,0,0,0,0,0,APRIL,2024
MAJENE,SENDANA,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAJENE,SENDANA,760501307,PUSTU PUNDAU,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAJENE,TUBO SENDANA,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMUJU,KALUKKU,7602020,Puskesmas Tampa Padang,24,0,0,5,0,1,0,7,11,0,0,0,APRIL,2024
MAMUJU,KALUKKU,7602022,Puskesmas Ranga- Ranga,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMUJU,MAMUJU,7602009,PUSKESMAS BAMBU,3,0,0,3,0,0,0,0,0,0,0,0,APRIL,2024
MAMASA,TABANG,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMUJU,TAPALANG,760202603,Poskesdes Kasambang,1,0,0,1,0,0,0,0,0,0,0,0,APRIL,2024
POLEWALI MANDAR,WONOMULYO,7604029,PUSKESMAS WONOMULYO,9,0,0,3,0,0,0,0,6,0,0,0,APRIL,2024
POLEWALI MANDAR,TUTAR,760402201,POSKESDES RATTE,15,0,0,5,10,0,0,0,0,0,0,0,APRIL,2024
MAMASA,MAMASA,7603020,RUMAH SAKIT BANUA MAMASE,6,0,0,1,1,0,0,0,4,0,0,0,APRIL,2024
POLEWALI MANDAR,MAPILLI,760402807,PUSTU RUMPA,1,0,0,0,0,0,0,0,1,0,0,0,APRIL,2024
PASANGKAYU,LARIANG,760100804,POSKESDES BAMBAKORO,2,0,0,0,0,0,0,0,2,0,0,0,APRIL,2024
PASANGKAYU,PASANGKAYU,7601016,RSUD Kabupaten Pasangkayu,20,0,0,0,0,0,0,0,0,17,0,3,APRIL,2024
POLEWALI MANDAR,CAMPALAGIAN,7604010,PUSKESMAS CAMPALAGIAN,11,0,0,2,1,0,0,0,7,1,0,0,APRIL,2024
MAMASA,TAWALIAN,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
POLEWALI MANDAR,LUYO,760403417,PUSTU BATUPANGA DAALA,2,0,1,0,1,0,0,0,0,0,0,0,APRIL,2024
POLEWALI MANDAR,POLEWALI,760404703,PUSTU TAKATIDUNG,17,1,5,2,9,0,0,0,0,0,0,0,APRIL,2024
POLEWALI MANDAR,MATAKALI,760403803,PUSTU PATAMPANUA,2,0,0,0,2,0,0,0,0,0,0,0,APRIL,2024
POLEWALI MANDAR,BULO,760403705,Poskesdes Pulliwa,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
PASANGKAYU,SARUDU,760101201,Pustu Kumasari,4,0,0,1,0,0,0,0,3,0,0,0,APRIL,2024
PASANGKAYU,TIKKE RAYA,760100704,POSKESDES PAJALELE,3,0,0,0,2,1,0,0,0,0,0,0,APRIL,2024
